Date,Tournament,Surface,Rd,Rk,vRk,Result,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
12-Apr-09,Monte Carlo Masters,Clay,R16,3,36,(3)Djokovic d. Albert Montanes [ESP],6-1 6-7(4) 6-0,1.39,6.50%,1.30%,68.80%,75.50%,33.30%,0/2,01:45
12-Apr-09,Monte Carlo Masters,Clay,R32,3,65,(3)Djokovic d. (Q)Oscar Hernandez [ESP],6-1 6-2,1.79,2.30%,2.30%,60.50%,80.80%,52.90%,1/2,01:19
25-Mar-09,Miami Masters,Hard,F,3,4,(4)Andy Murray [GBR] d. (3)Djokovic,6-2 7-5,0.68,2.70%,6.80%,61.60%,53.30%,42.90%,6/11,01:43
25-Mar-09,Miami Masters,Hard,SF,3,2,(3)Djokovic d. (2)Roger Federer [SUI],3-6 6-2 6-3,1.37,5.50%,5.50%,69.90%,68.60%,54.50%,2/6,01:46
25-Mar-09,Miami Masters,Hard,QF,3,11,(3)Djokovic d. (10)Jo Wilfried Tsonga [FRA],6-3 6-4,1.29,0.00%,1.50%,47.80%,71.90%,65.70%,4/4,01:56
25-Mar-09,Miami Masters,Hard,R16,3,22,(3)Djokovic d. (21)Tomas Berdych [CZE],6-3 6-2,1.74,2.30%,4.70%,53.50%,82.60%,55.00%,0/1,01:13
25-Mar-09,Miami Masters,Hard,R32,3,33,(3)Djokovic d. (31)Paul Henri Mathieu [FRA],6-4 6-1,2.46,9.50%,4.80%,66.70%,82.10%,78.60%,3/3,01:16
25-Mar-09,Miami Masters,Hard,R64,3,117,(3)Djokovic d. (Q)Frank Dancevic [CAN],6-3 6-2,1.56,6.80%,3.40%,66.10%,76.90%,65.00%,6/6,01:11
12-Mar-09,Indian Wells Masters,Hard,QF,3,7,(7)Andy Roddick [USA] d. (3)Djokovic,6-3 6-2,0.48,3.60%,7.10%,57.10%,56.30%,45.80%,1/5,01:09
12-Mar-09,Indian Wells Masters,Hard,R16,3,16,(3)Djokovic d. (16)Stan Wawrinka [SUI],7-6(7) 7-6(6),0.98,5.20%,2.10%,64.60%,67.70%,61.80%,4/6,02:28
12-Mar-09,Indian Wells Masters,Hard,R32,3,64,(3)Djokovic d. Tommy Haas [GER],6-2 7-6(1),1.54,13.10%,1.60%,72.10%,77.30%,52.90%,3/4,01:47
12-Mar-09,Indian Wells Masters,Hard,R64,3,54,(3)Djokovic d. Martin Vassallo Arguello [ARG],7-5 6-4,1.34,3.40%,3.40%,60.30%,71.40%,65.20%,0/2,01:44
06-Mar-09,Davis Cup WG R1: ESP vs SRB,Clay,RR,3,12,David Ferrer [ESP] d. Djokovic,6-3 6-3 7-6(4),,,,,,,,
06-Mar-09,Davis Cup WG R1: ESP vs SRB,Clay,RR,3,1,Rafael Nadal [ESP] d. Djokovic,6-4 6-4 6-1,,,,,,,,
23-Feb-09,Dubai,Hard,F,3,14,(1)Djokovic d. (4)David Ferrer [ESP],7-5 6-3,1.25,4.80%,0.00%,71.40%,66.70%,50.00%,1/4,01:37
23-Feb-09,Dubai,Hard,SF,3,8,(1)Djokovic d. (3)Gilles Simon [FRA],3-6 7-5 7-5,1.04,11.00%,2.80%,61.50%,65.70%,59.50%,1/3,02:45
23-Feb-09,Dubai,Hard,QF,3,19,(1)Djokovic d. (5)Marin Cilic [CRO],6-3 6-4,1.4,9.90%,4.20%,63.40%,82.20%,46.20%,6/6,01:38
23-Feb-09,Dubai,Hard,R16,3,66,(1)Djokovic d. Jan Hernych [CZE],6-3 3-6 6-4,0.97,5.40%,3.30%,55.40%,74.50%,48.80%,6/8,02:07
23-Feb-09,Dubai,Hard,R32,3,125,(1)Djokovic d. (Q)Flavio Cipolla [ITA],6-3 6-2,1.36,7.00%,1.40%,62.00%,70.50%,44.40%,4/6,01:19
16-Feb-09,Marseille,Hard,SF,3,12,(4)Jo Wilfried Tsonga [FRA] d. (1)Djokovic,6-4 7-6(1),0.81,11.90%,0.00%,73.10%,71.40%,61.10%,2/3,01:26
