Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
23_Mar_2015,USA F11,Hard,R32,803,839,(WC)Fritz d. (LL)Lucas Renard [SWE],6-2 5-7 6-3,,,,,,,,,
12_Mar_2015,Indian Wells Masters,Hard,Q2,941,125,(15)Thiemo De Bakker [NED] d. (WC)Fritz,6-4 6-4,,0.71,12.50%,1.80%,64.30%,66.70%,50.00%,4-Jan,1:02
12_Mar_2015,Indian Wells Masters,Hard,Q1,941,109,(WC)Fritz d. (12)Dudi Sela [ISR],6-3 6-0,,1.59,10.20%,0.00%,59.30%,82.90%,45.80%,7-Jul,0:58
5_Jan_2015,USA F2,Hard,SF,1149,322,(3)Jason Jung [TPE] d. (WC)Fritz,1-6 7-6(7) 6-4,,,,,,,,,
5_Jan_2015,USA F2,Hard,QF,1149,466,(WC)Fritz d. Stefan Kozlov [USA],6-4 6-4,,,,,,,,,
5_Jan_2015,USA F2,Hard,R16,1149,641,(WC)Fritz d. Mackenzie Mcdonald [USA],6-3 6-4,,,,,,,,,
5_Jan_2015,USA F2,Hard,R32,1149,288,(WC)Fritz d. (1)Dennis Novikov [USA],6-7(3) 6-4 7-5,,,,,,,,,
22_Sep_2014,USA F26,Hard,QF,1273,675,(6)Greg Jones [AUS] d. (WC)Fritz,7-6(3) 7-6(1),,,,,,,,,
22_Sep_2014,USA F26,Hard,R16,1273,604,(WC)Fritz d. (3)Jeff Dadamo [USA],6-3 7-6(3),,,,,,,,,
22_Sep_2014,USA F26,Hard,R32,1273,1335,(WC)Fritz d. (SE)Ty Trombetta [USA],7-6(3) 7-6(5),,,,,,,,,
15_Sep_2014,USA F25,Hard,R32,1273,244,(1)Matt Reid [AUS] d. (WC)Fritz,6-4 3-6 6-3,,,,,,,,,
25_Aug_2014,US Open,Hard,Q1,1264,228,Jan Mertl [CZE] d. (WC)Fritz,1-6 6-3 6-3,,0.86,5.50%,2.20%,47.30%,72.10%,43.80%,10-Jun,1:40
19_May_2014,Spain F10,Clay,R32,1235,591,(8)Noah Rubin [USA] d. (Q)Fritz,6-1 6-0,,,,,,,,,
12_May_2014,Spain F9,Clay,R32,1233,849,Marcelo Zormann Da Silva [BRA] d. (Q)Fritz,3-6 6-3 6-0,,,,,,,,,
17_Mar_2014,USA F9,Hard,QF,1818,347,(3)Jason Jung [TPE] d. (WC)Fritz,6-4 6-4,,,,,,,,,
17_Mar_2014,USA F9,Hard,R16,1818,494,(WC)Fritz d. Evan King [USA],6-3 6-3,,,,,,,,,
17_Mar_2014,USA F9,Hard,R32,1818,403,(WC)Fritz d. (7)Dimitar Kutrovsky [BUL],6-3 6-4,,,,,,,,,
10_Mar_2014,USA F8,Hard,R16,1809,2156,(Q)Collin Altamirano [USA] d. (Q)Fritz,6-1 6-3,,,,,,,,,
10_Mar_2014,USA F8,Hard,R32,1809,495,(Q)Fritz d. Evan King [USA],6-3 6-3,,,,,,,,,
27_Jan_2014,USA F4,Clay,R16,,596,(8)Gianni Mina [FRA] d. (WC)Fritz,6-0 6-2,,,,,,,,,
27_Jan_2014,USA F4,Clay,R32,,752,(WC)Fritz d. Moritz Buerchner [GER],3-6 7-5 6-3,,,,,,,,,
20_Jan_2014,USA F3,Clay,R32,,602,Eric Quigley [USA] d. (WC)Fritz,6-3 6-4,,,,,,,,,
