Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
27_Sep_2023,Beijing,Hard,SF,2,7,(6)Jannik Sinner [ITA] d. (1)Alcaraz,7-6(4) 6-1, (ch),0.84,6.30%,0.00%,71.40%,60.00%,27.80%,8-Mar,1:55
27_Sep_2023,Beijing,Hard,QF,2,9,(1)Alcaraz d. (7)Casper Ruud [NOR],6-4 6-2, (ch),1.6,10.90%,1.80%,69.10%,71.10%,64.70%,2-Jan,1:44
27_Sep_2023,Beijing,Hard,R16,2,18,(1)Alcaraz d. Lorenzo Musetti [ITA],6-2 6-2,,1.4,1.90%,5.70%,67.90%,66.70%,64.70%,3-Mar,1:21
27_Sep_2023,Beijing,Hard,R32,2,53,(1)Alcaraz d. (Q)Yannick Hanfmann [GER],6-4 6-3,,1.51,4.30%,8.50%,63.80%,80.00%,47.10%,3-Jan,1:37
28_Aug_2023,US Open,Hard,SF,1,3,(3)Daniil Medvedev [RUS] d. (1)Alcaraz,7-6(3) 6-1 3-6 6-3,,0.78,0.00%,0.00%,69.90%,68.80%,47.50%,7-Apr,3:19
28_Aug_2023,US Open,Hard,QF,1,12,(1)Alcaraz d. (12)Alexander Zverev [GER],6-3 6-2 6-4, (ch),1.3,3.10%,3.10%,56.70%,76.40%,57.10%,5-May,2:30
28_Aug_2023,US Open,Hard,R16,1,61,(1)Alcaraz d. Matteo Arnaldi [ITA],6-3 6-3 6-4, (ch),1.53,2.70%,4.10%,66.20%,77.60%,60.00%,0/1,1:57
28_Aug_2023,US Open,Hard,R32,1,28,(1)Alcaraz d. (26)Daniel Evans [GBR],6-2 6-3 4-6 6-3, (ch),1.5,5.70%,3.80%,56.60%,73.30%,69.60%,7-May,3:11
28_Aug_2023,US Open,Hard,R64,1,177,(1)Alcaraz d. Lloyd Harris [RSA],6-3 6-1 7-6(4), (ch),1.29,3.80%,1.00%,64.40%,68.70%,62.20%,10-Sep,2:28
28_Aug_2023,US Open,Hard,R128,1,75,(1)Alcaraz d. Dominik Koepfer [GER],6-2 3-2 RET,,2.31,12.10%,0.00%,72.70%,83.30%,66.70%,2-Feb,1:00
14_Aug_2023,Cincinnati Masters,Hard,F,1,2,(2)Novak Djokovic [SRB] d. (1)Alcaraz,5-7 7-6(7) 7-6(4), (ch),0.93,8.30%,3.80%,63.90%,71.80%,47.90%,13/16,3:49
14_Aug_2023,Cincinnati Masters,Hard,SF,1,20,(1)Alcaraz d. Hubert Hurkacz [POL],2-6 7-6(4) 6-3, (ch),1.05,2.20%,0.00%,65.90%,68.30%,64.50%,4-Feb,2:18
14_Aug_2023,Cincinnati Masters,Hard,QF,1,70,(1)Alcaraz d. (Q)Max Purcell [AUS],4-6 6-3 6-4, (ch),1.21,6.70%,9.00%,58.40%,67.30%,62.20%,3-Jan,2:11
14_Aug_2023,Cincinnati Masters,Hard,R16,1,13,(1)Alcaraz d. (14)Tommy Paul [USA],7-6(6) 6-7(0) 6-3,,1.21,5.80%,3.90%,65.00%,71.60%,47.20%,6-Feb,3:09
14_Aug_2023,Cincinnati Masters,Hard,R32,1,55,(1)Alcaraz d. (Q)Jordan Thompson [AUS],7-5 4-6 6-3,,1.23,3.50%,5.80%,54.70%,66.00%,64.10%,7-Apr,3:02
7_Aug_2023,Canada Masters,Hard,QF,1,14,(12)Tommy Paul [USA] d. (1)Alcaraz,6-3 4-6 6-3, (ch),0.9,4.00%,6.10%,66.70%,66.70%,48.50%,10-Jun,2:20
7_Aug_2023,Canada Masters,Hard,R16,1,17,(1)Alcaraz d. (15)Hubert Hurkacz [POL],3-6 7-6(2) 7-6(3), (ch),1.19,6.30%,1.00%,59.40%,75.40%,61.50%,5-Jan,2:38
7_Aug_2023,Canada Masters,Hard,R32,1,41,(1)Alcaraz d. Ben Shelton [USA],6-3 7-6(3),,1.1,5.10%,2.60%,57.70%,71.10%,66.70%,3-Mar,1:38
3_Jul_2023,Wimbledon,Grass,F,1,2,(1)Alcaraz d. (2)Novak Djokovic [SRB],1-6 7-6(6) 6-1 3-6 6-4, (ch),1.08,6.00%,4.70%,62.70%,70.20%,50.00%,15-Oct,4:43
3_Jul_2023,Wimbledon,Grass,SF,1,3,(1)Alcaraz d. (3)Daniil Medvedev [RUS],6-3 6-3 6-3, (ch),1.46,5.10%,3.80%,70.90%,73.20%,56.50%,4-Feb,1:50
3_Jul_2023,Wimbledon,Grass,QF,1,6,(1)Alcaraz d. (6)Holger Rune [DEN],7-6(3) 6-4 6-4, (ch),1.42,4.30%,2.20%,62.00%,78.90%,71.40%,1-Jan,2:21
3_Jul_2023,Wimbledon,Grass,R16,1,38,(1)Alcaraz d. Matteo Berrettini [ITA],3-6 6-3 6-3 6-3, (ch),1.37,3.80%,5.70%,63.20%,79.10%,59.00%,3-Feb,3:05
3_Jul_2023,Wimbledon,Grass,R32,1,28,(1)Alcaraz d. (25)Nicolas Jarry [CHI],6-3 6-7(6) 6-3 7-5, (ch),1.16,7.90%,4.60%,61.60%,77.40%,51.70%,7-May,3:56
3_Jul_2023,Wimbledon,Grass,R64,1,84,(1)Alcaraz d. Alexandre Muller [FRA],6-4 7-6(2) 6-3, (ch),1.32,4.60%,2.80%,64.20%,75.70%,59.00%,6-Jun,2:33
3_Jul_2023,Wimbledon,Grass,R128,1,542,(1)Alcaraz d. Jeremy Chardy [FRA],6-0 6-2 7-5, (ch),2.11,13.70%,2.70%,61.60%,84.40%,60.70%,4-Mar,1:53
19_Jun_2023,Queen's Club,Grass,F,2,18,(1)Alcaraz d. (7)Alex De Minaur [AUS],6-4 6-4, (ch),1.08,10.80%,1.50%,60.00%,71.80%,65.40%,2-Feb,1:39
