Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
28_Jul_2008,Cincinnati Masters,Hard,R16,9,34,(8)Murray d. Dmitry Tursunov [RUS],6-3 6-3,,1.31,9.40%,3.80%,52.80%,85.70%,48.00%,3-Feb,1:09
28_Jul_2008,Cincinnati Masters,Hard,R32,9,46,(8)Murray d. Sam Querrey [USA],7-6(3) 6-1,,1.62,20.00%,9.10%,61.80%,82.40%,47.60%,0/2,1:17
21_Jul_2008,Canada Masters,Hard,SF,9,2,(2)Rafael Nadal [ESP] d. (8)Murray,7-6(2) 6-3, (ch),0.95,8.20%,0.00%,54.10%,66.70%,57.10%,0/2,2:02
21_Jul_2008,Canada Masters,Hard,QF,9,3,(8)Murray d. (3)Novak Djokovic [SRB],6-3 7-6(3), (ch),1.19,2.70%,0.00%,41.10%,70.00%,62.80%,5-Mar,1:45
21_Jul_2008,Canada Masters,Hard,R16,9,10,(8)Murray d. (9)Stan Wawrinka [SUI],6-2 0-6 6-4,,1.1,0.00%,4.10%,54.80%,72.50%,51.50%,7-Apr,1:54
21_Jul_2008,Canada Masters,Hard,R32,9,64,(8)Murray d. (LL)Thomas Johansson [SWE],6-4 6-4,,1.15,15.60%,3.90%,62.30%,70.80%,31.00%,6-Mar,1:36
23_Jun_2008,Wimbledon,Grass,QF,11,2,(2)Rafael Nadal [ESP] d. (11)Murray,6-3 6-2 6-4, (ch),0.33,5.50%,2.20%,50.50%,67.40%,40.00%,10-Jun,1:55
23_Jun_2008,Wimbledon,Grass,R16,11,10,(11)Murray d. (9)Richard Gasquet [FRA],5-7 3-6 7-6(3) 6-2 6-4,,1.07,8.00%,3.20%,55.10%,75.70%,51.20%,15/18,3:58
23_Jun_2008,Wimbledon,Grass,R32,11,38,(11)Murray d. Tommy Haas [GER],6-4 6-7(4) 6-3 6-2,,1.17,11.00%,3.10%,53.50%,80.90%,55.90%,4-Mar,2:35
23_Jun_2008,Wimbledon,Grass,R64,11,226,(11)Murray d. (WC)Xavier Malisse [BEL],6-4 6-2 6-2,,1.67,20.70%,2.40%,67.10%,81.80%,48.10%,3-Feb,1:35
23_Jun_2008,Wimbledon,Grass,R128,11,54,(11)Murray d. Fabrice Santoro [FRA],6-3 6-4 7-6(5),,1.73,9.60%,1.20%,61.40%,84.30%,62.50%,0/2,2:14
9_Jun_2008,Queen's Club,Grass,QF,11,6,(3)Andy Roddick [USA] d. (6)Murray,W/O,,,,,,,,,
9_Jun_2008,Queen's Club,Grass,R16,11,51,(6)Murray d. Ernests Gulbis [LAT],5-7 6-1 6-4,,1.25,4.50%,1.10%,64.00%,78.90%,53.10%,4-Mar,2:00
9_Jun_2008,Queen's Club,Grass,R32,11,60,(6)Murray d. Sebastien Grosjean [FRA],2-0 RET,,1.52,37.50%,0.00%,75.00%,50.00%,100.00%,1-Jan,0:15
25_May_2008,Roland Garros,Clay,R32,12,20,(19)Nicolas Almagro [ESP] d. (10)Murray,6-3 6-7(3) 6-3 7-5,,0.69,7.40%,6.60%,49.30%,76.10%,43.50%,17-Dec,2:49
25_May_2008,Roland Garros,Clay,R64,12,49,(10)Murray d. Jose Acasuso [ARG],6-4 6-0 6-4,,1.56,10.70%,0.00%,66.70%,80.40%,53.60%,6-Jun,1:38
25_May_2008,Roland Garros,Clay,R128,12,390,(10)Murray d. (WC)Jonathan Eysseric [FRA],6-2 1-6 4-6 6-0 6-2,,1.23,2.70%,0.00%,63.70%,68.10%,43.90%,15-Aug,2:44
11_May_2008,Hamburg Masters,Clay,R16,14,2,(2)Rafael Nadal [ESP] d. (15)Murray,6-3 6-2, (ch),0.56,4.70%,0.00%,62.50%,52.50%,45.80%,8-Mar,1:18
11_May_2008,Hamburg Masters,Clay,R32,14,35,(15)Murray d. Gilles Simon [FRA],6-3 6-3,,1.53,0.00%,1.90%,45.30%,83.30%,55.20%,4-Mar,1:17
11_May_2008,Hamburg Masters,Clay,R64,14,31,(15)Murray d. Dmitry Tursunov [RUS],6-4 6-1,,1.67,1.90%,1.90%,63.50%,66.70%,78.90%,3-Mar,1:32
5_May_2008,Rome Masters,Clay,R32,18,24,Stan Wawrinka [SUI] d. (16)Murray,6-2 7-6(5),,0.73,0.00%,2.80%,54.20%,64.10%,48.50%,9-Jun,1:45
5_May_2008,Rome Masters,Clay,R64,18,71,(16)Murray d. (Q)Juan Martin Del Potro [ARG],5-7 6-4 1-0 RET,,1.18,2.80%,1.40%,57.70%,65.90%,46.70%,6-Feb,2:08
